"My 
Conn","Grad
Month","Grad
Year",Job Title,Home Country,Current City,Current State,Gender,Major1,Major2,Major3,Minor1,Minor2,Minor3,Certificate1,Certificate2,Certificate3
1,May,2020,Advisory Consultant,UNITED STATES,Minneapolis,MN,Male,Accounting,Business Analytics,,,,,,,
1,May,2020,Investment Banking Analyst,UNITED STATES,New York,NY,Male,Accounting,Finance,Business Analytics,,,,,,
,May,2020,,UNITED STATES,,,Male,Accounting,Information Systems,,,,,,,
1,May,2020,Audit Assistant,UNITED STATES,Chicago,IL,Male,Accounting,Business Analytics,,,,,,,
1,May,2020,Global Mobility Tax Consultant,UNITED STATES,Madison,WI,Male,Accounting,Business Analytics,,,,,,,
1,May,2020,Tax Staff,UNITED STATES,Des Moines,IA,Female,Accounting,Business Analytics,,,,,,,
1,May,2020,Assurance Staff,UNITED STATES,Chicago,IL,Male,Accounting,Business Analytics,,,,,,,
1,May,2020,Data Analyst,UNITED STATES,Iowa City,IA,Male,Accounting,Business Analytics,,,,,,,
1,May,2020,Assurance Staff,UNITED STATES,Minneapolis,MN,Male,Accounting,Business Analytics,,Spanish,,,,,
1,May,2020,MQM Masters student,CHINA,Durhan,NC,Female,Accounting,Finance,Business Analytics,,,,,,
1,May,2020,,UNITED STATES,,,Male,Accounting,Business Analytics,,,,,,,
3,May,2020,,CHINA,Shanghai,China,Female,Accounting,Business Analytics,,,,,,,
1,May,2020,Assistant Consultant,CHINA,Shanghai,China,Female,Accounting,Business Analytics,,,,,,,
3,May,2020,,CHINA,,,Male,Accounting,Business Analytics,,,,,,,
1,May,2020,"Operations Associate, Product & Platform",UNITED STATES,Overland Park,KS,Male,Business Analytics,,,,,,,,
1,May,2020,Analyst Advisor,UNITED STATES,Naperville,IL,Male,Business Analytics,,,Sport and Recreation Management,,,,,
3,May,2020,Business Intelligence Reporting Analyst,UNITED STATES,Iowa City,IA,Male,Business Analytics,,,,,,,,
1,May,2020,Healthcare Analyst,UNITED STATES,Chicago,IL,Male,Business Analytics,,,,,,,,
1,May,2020,Avionics PP&C Accounting Rotate,UNITED STATES,Marion,IA,Female,Business Analytics,Accounting,,,,,,,
1,May,2020,Baseball Operations Analyst Intern,UNITED STATES,Iowa City,IA,Male,Business Analytics,,,,,,,,
1,May,2020,Tech Risk Consultant,UNITED STATES,Des Moines ,IA,Male,Business Analytics,,,,,,,,
,May,2020,,CHINA,,,Female,Business Analytics,,,,,,,,
,May,2020,,CHINA,,,Male,Business Analytics,,,,,,,,
1,May,2020,"Associate Manager, Data Analytics",UNITED STATES,Iowa City ,IA,Male,Business Analytics,Cinema,,,,,,,
1,May,2020,Data Scientist,UNITED STATES,Des Moines ,IA,Male,Business Analytics,,,,,,,,
1,May,2020,MSBA Candidate,UNITED STATES,Iowa City ,IA,Male,Business Analytics,,,,,,,,
1,May,2020,Data Analyst,UNITED STATES,Muscatine,IA,Female,Business Analytics,,,,,,,,
3,May,2020,Dev10 Software Developer Trainee,UNITED STATES,Chicago,IL,Male,Business Analytics,,,Computer Science,,,,,
3,May,2020,Master of Science in Business Analytics Candidate,CHINA,Iowa City ,IA,Female,Business Analytics,,,,,,,,
1,May,2020,MS Candidate,UNITED STATES,New York,NY,Female,Business Analytics,,,,,,,,
1,May,2020,Cloud Economics Consultant ,UNITED STATES,Iowa City ,IA,Male,Business Analytics,Finance,,,,,,,
3,May,2020,,CHINA,,,Female,Business Analytics,,,,,,,,
1,May,2020,Accountant,UNITED STATES,Algonquin,IL,Female,Business Analytics,Accounting,,,,,,,
1,May,2020,Core Optimization Analyst,UNITED STATES,Vernon Hills,IL,Male,Business Analytics,,,,,,,,
1,May,2020,Data Analyst,UNITED STATES,Chicago,IL,Male,Business Analytics,,,,,,,,
1,May,2020,,UNITED STATES,,,Male,Business Analytics,,,,,,,,
1,May,2020,Master of Communication Management,CHINA,Los Angeles,CA,Female,Business Analytics,Marketing (Marketing Analytics),,,,,,,
1,May,2020,Maintenance Analyst,UNITED STATES,Iowa City/Cedar Rapids,IA,Male,Business Analytics,,,,,,,,
1,May,2020,Data Analyst I,UNITED STATES,Akron,OH,Male,Business Analytics,,,Italian,,,,,
1,May,2020,Assistant Client Analytics Consultant,UNITED STATES,Chicago,IL,Male,Business Analytics,,,Mass Communication,,,,,
1,May,2020,Investment Analyst,UNITED STATES,Des Moines ,IA,Male,Business Analytics,Finance,,,,,Leadership Studies,,
3,May,2020,,CHINA,,,Male,Business Analytics,Finance,,,,,,,
1,May,2020,M.S in Business Analytics,SOUTH KOREA,Iowa City,IA,Male,Business Analytics,,,,,,,,
1,May,2020,Business Analytics Consultant,UNITED STATES,Denver,CO,Male,Business Analytics,,,,,,,,
,May,2020,,UNITED STATES,,,Male,Business Analytics,,,,,,,,
1,May,2020,Medical Group Data Analyst ,UNITED STATES,Des Moines ,IA,Male,Business Analytics,,,,,,,,
1,May,2020,Tax Consultant,UNITED STATES,Chicago,IL,Male,Business Analytics,Accounting,,,,,,,
1,May,2020,Solutions Architect,UNITED STATES,Dallas,TX,Female,Business Analytics,Marketing (Marketing Analytics),,Psychology,,,,,
1,May,2020,Business Systems Analyst,UNITED STATES,Iowa City,IA,Female,Business Analytics,,,,,,,,
1,May,2020,M&A Transaction Services Analyst,UNITED STATES,Chicago,IL,Male,Business Analytics,,,,,,,,
1,May,2020,MS in Business Analytics,CHINA,Brookline,MA,Female,Business Analytics,Finance,,,,,,,
1,May,2020,Global Mobility Consultant,UNITED STATES,Chicago,IL,Female,Business Analytics,Management (Human Resource Management),,,,,International Business,,
1,May,2020,JD/MBA Candidate ,UNITED STATES,Des Moines ,IA,Male,Business Analytics,,,,,,,,
1,May,2020,Associate Mako Product Specialist ,UNITED STATES,Peoria,IL,Female,Business Analytics,,,,,,,,
1,May,2020,Technology Risk Consultant,UNITED STATES,Chicago,IL,Female,Business Analytics,,,,,,,,
1,May,2020,FSO Assurance Staff,CHINA,Iowa City,IA,Female,Business Analytics,Accounting,,,,,,,
1,May,2020,Product Operation,CHINA,Iowa City,IA,Female,Business Analytics,,,,,,,,
1,May,2020,Technology Analyst,UNITED STATES,Minneapolis,MN,Female,Business Analytics,,,Mathematics,,,,,
,May,2020,,UNITED STATES,,,Female,Business Analytics,,,,,,,,
3,May,2020,,CHINA,,,Female,Business Analytics,,,,,,,,
3,May,2020,,CHINA,,,Male,Business Analytics,,,,,,,,
