"Grad
Month","Grad
Year","My 
Conn",Current City,Current State,Job Title,Employer,Home Country,Gender,Major1,Major2,Major3,Minor1,Minor2,Minor3,Certificate1,Certificate2,Certificate3
Dec,2020,1,Cedar Rapids,IA,Tax Accountant,Transamerica,UNITED STATES,Male,Accounting,Business Analytics,,,,,,,
Dec,2020,,,,,,UNITED STATES,Male,Accounting,Business Analytics,,,,,,,
Dec,2020,1,Iowa City/ Cedar Rapids,IA,Risk Associate,PwC,UNITED STATES,Male,Accounting,Business Analytics,,,,,,,
Dec,2020,1,Iowa City,IA,Technology Risk Consultant ,EY,UNITED STATES,Female,Accounting,Business Analytics,,,,,,,
Dec,2020,1,,,,,UNITED STATES,Female,Accounting,Business Analytics,,,,,,,
Dec,2020,3,Iowa City,IA,MSBA/Teaching Assistant,,JAPAN,Female,Actuarial Science,Business Analytics,,,,,,,
Dec,2020,1,,,,,UNITED STATES,Male,Business Analytics,,,,,,,,
Dec,2020,1,Iowa City/ Cedar Rapids,IA,Technology Risk Consultant,,UNITED STATES,Female,Business Analytics,,,,,,International Business,,
Dec,2020,1,Austin,TX,Software Test Engineer,,UNITED STATES,Male,Business Analytics,,,,,,,,
Dec,2020,1,Nashville,TN,Application Development Analyst,,UNITED STATES,Male,Business Analytics,,,,,,,,
Dec,2020,1,Iowa City,IA,Benefits Technology Analyst,,UNITED STATES,Female,Business Analytics,,,Political Science,,,,,
Dec,2020,1,Chicago,IL,Data Analyst,,UNITED STATES,Female,Business Analytics,,,,,,,,
Dec,2020,,,,,,UNITED STATES,Male,Business Analytics,,,,,,,,
Dec,2020,1,Arlington Heights,IL,Revenue Analyst,,UNITED STATES,Male,Business Analytics,Finance,,,,,,,
Dec,2020,3,Rockford ,IL,Customer Supply Chain Specialist,,UNITED STATES,Male,Business Analytics,,,,,,,,
Dec,2020,3,New York,NY,Applied Analytics Student,,CHINA,Male,Business Analytics,,,,,,,,
Dec,2020,1,,,,,UNITED STATES,Male,Business Analytics,,,Economics,,,Entrepreneurial Management,,
Dec,2020,3,,,,,SOUTH KOREA,Male,Business Analytics,,,,,,,,
Dec,2020,1,,,,,UNITED STATES,Male,Business Analytics,,,,,,,,
Dec,2020,1,Rock Island,IL,Analyst,,UNITED STATES,Male,Business Analytics,,,Spanish,,,,,
Dec,2020,3,,,,,UNITED STATES,Female,Business Analytics,,,,,,,,
Dec,2020,1,Iowa City ,IA,Graduate Business Analytics Student,,UNITED STATES,Male,Business Analytics,,,,,,,,
Dec,2020,3,Chicago,IL,Project Manager and Analyst,,UNITED STATES,Male,Business Analytics,,,Psychology,,,,,
Dec,2020,1,Eden Prairie,MN,KYC Analyst,,UNITED STATES,Male,Business Analytics,,,,,,Leadership Studies,Entrepreneurial Management,
Dec,2020,3,,,,,UNITED STATES,Male,Business Analytics,,,,,,,,
Dec,2020,,,,,,UNITED STATES,Female,Business Analytics,,,,,,,,
Dec,2020,1,Iowa City,IA,Applied Research Analyst,,CHINA,Male,Business Analytics,Finance,,,,,,,
Dec,2020,1,,,,,CHINA,Male,Business Analytics,,,,,,,,
Dec,2020,3,,,,,CHINA,Female,Business Analytics,Accounting,,,,,,,
Dec,2020,3,Iowa City ,IA,MSBA Student,,UNITED STATES,Female,Business Analytics,,,,,,,,
Dec,2020,,,,,,CHINA,Female,Business Analytics,,,,,,,,
Dec,2020,3,,,,,CHINA,Female,Business Analytics,,,Philosophy,,,,,
Dec,2020,3,Iowa City,IA,Master's: Finance,,CHINA,Male,Business Analytics,,,,,,,,
Dec,2020,1,Des Moines,IA,FSO Technology Risk Consulting Staff ,,UNITED STATES,Female,Finance,Business Analytics,,German,,,,,
Dec,2020,1,Jersey City,NJ,President,,CHINA,Male,Finance,Business Analytics,,,,,Risk Management and Insurance,,
Dec,2020,1,Iowa City ,IA,Human Resources Specialist,,UNITED STATES,Female,Information Systems,,,,,,,,
Dec,2020,1,,,,,UNITED STATES,Female,Information Systems,,,,,,,,
Dec,2020,1,Mount Prospect,IL,Client Development Associate,,UNITED STATES,Male,Information Systems,,,Computer Science,,,,,
Dec,2020,,,,,,UNITED STATES,Male,Information Systems,,,,,,,,
Dec,2020,1,Clifton Park,NY,Junior Software Engineer,"XchangeWorx, Inc.",UNITED STATES,Male,Information Systems,,,,,,,,
Dec,2020,1,Des Moines,IA,Commercial-Farm/Ranch Data Engineer,American Family Insurance,UNITED STATES,Female,Information Systems,,,,,,,,
Dec,2020,1,Iowa City ,IA,Business Process Analyst,BerganKDV,UNITED STATES,Female,Management (Human Resource Management),Business Analytics,,,,,Leadership Studies,,
