"Grad.Month","Grad.Year","My..Conn","Job.Title","Current.City","Current.State","Home.Country","Gender","Major1","Major2","Major3","Minor1","Minor2","Minor3","Certificate1","Certificate2","Certificate3"
"May",2014,0,NA,NA,NA,"GERMANY","Male","Finance","Management Information Systems",NA,NA,NA,NA,NA,NA,NA
"May",2014,0,NA,NA,NA,"CHINA","Female","Management Information Systems","Marketing",NA,NA,NA,NA,NA,NA,NA
"May",2014,0,NA,NA,NA,"UNITED STATES","Male","Finance","Information Systems",NA,NA,NA,NA,NA,NA,NA
"Dec",2014,0,NA,NA,NA,"UNITED STATES","Male","Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"May",2014,0,NA,NA,NA,"UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2014,0,NA,NA,NA,"UNITED STATES","Male","Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"Dec",2014,0,NA,NA,NA,"CHINA","Female","Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"Dec",2014,0,NA,NA,NA,"UNITED STATES","Male","Management Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"May",2014,0,NA,NA,NA,"UNITED STATES","Female","Business Analytics",NA,NA,"Sociology",NA,NA,NA,NA,NA
"May",2014,0,NA,NA,NA,"UNITED STATES","Male","Management Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"May",2014,1,"Business Intelligence Manager","Des Moines","IA","UNITED STATES","Male","Business Analytics",NA,NA,"Economics",NA,NA,NA,NA,NA
"May",2014,1,"Project Engineer III","Portland","OR","UNITED STATES","Male","Management Information Systems","Management (Entrepreneurial Management)",NA,"Computer Science",NA,NA,"Sustainability Program",NA,NA
"May",2014,1,"Software Engineer","Chicago","IL","UNITED STATES","Male","Management Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"May",2014,1,"Project Manager","Yubei Prefecture","Chongqing, China","CHINA","Female","Finance","Management Information Systems",NA,NA,NA,NA,NA,NA,NA
"May",2014,1,"Sales Support / Information Systems Management","San Jose","CA","CHINA","Female","Management Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"May",2014,1,"Computer Support Specialist","New York","NY","CHINA","Male","Finance","Management Information Systems",NA,NA,NA,NA,NA,NA,NA
"May",2014,1,"Supervisor, Shopping/Performance Strategy (Digital), Kia","Burbank","CA","UNITED STATES","Female","Marketing","Management Information Systems","Art",NA,NA,NA,NA,NA,NA
"May",2014,1,"PathNet Consulting Team Lead","Kansas City","MO","UNITED STATES","Female","Business Analytics","Management (Human Resource Management)","Psychology",NA,NA,NA,NA,NA,NA
"May",2014,1,"General Manager Assistant",NA,"Shandong, China","CHINA","Male","Finance","Management Information Systems",NA,NA,NA,NA,NA,NA,NA
"May",2014,1,"Research Data Analyst Associate","Chicago","IL","UNITED STATES","Male","Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"Dec",2014,1,"Sr. Business Operations Analyst & Salesforce Strategist","Des Moines","IA","UNITED STATES","Male","Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"May",2014,1,"Application Developer","Chicago","IL","UNITED STATES","Male","Management Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"May",2014,1,"Unified Communications Consultant","Chicago","IL","UNITED STATES","Male","Management Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"May",2014,1,"Officer / Operations Consultant","Northbrook","IL","UNITED STATES","Male","Management Information Systems","Finance",NA,NA,NA,NA,NA,NA,NA
